cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
M02,4454M,17.274,298.3912,PM923,HHOLL M02 - LSF CJR PRESIDENT 4454M,174,15,-4.4,64,97,0.21,0.54,30,-3,11,8,22,0.8,-0.04,17,0.2,-0.0,105,69,7,4,1160.0,11
K65,1278J,17.1442,293.9226,PM600,HHOLL K65 - SLB AUTHORITY 1278J,130,18,-4.6,58,84,0.16,0.43,29,-7,11,9,18,0.57,-0.12,10,0.18,-0.03,80,50,7,5,948.0,12
J61,4454M,17.0429,290.4612,PM398,HHOLL J61 - LSF CJR PRESIDENT 4454M,169,16,-4.8,53,80,0.17,0.35,28,-3,11,8,22,0.8,-0.05,12,0.2,0.0,100,69,6,5,1140.0,11
G25,4454M,16.9966,288.8837,PM188,HHOLL G25 - LSF CJR PRESIDENT 4454M,166,18,-5.3,58,85,0.17,0.31,30,-3,11,9,24,0.67,-0.0,10,0.1,0.01,114,52,7,4,1350.0,11
G11,4454M,16.8268,283.1396,PM174,HHOLL G11 - LSF CJR PRESIDENT 4454M,164,19,-5.8,51,80,0.18,0.41,26,-2,11,9,23,0.73,-0.0,8,0.06,0.0,104,60,6,5,1135.0,11
G60,N54,16.5905,275.2458,PM31,HHOLL G60 - HHOLL N54,163,21,-5.8,49,79,0.19,0.41,26,-3,13,11,22,0.56,0.02,11,0.03,0.01,108,55,7,3,1005.0,10
J65,1278J,16.3946,268.7825,PM376,HHOLL J65 - SLB AUTHORITY 1278J,144,15,-3.3,64,94,0.19,0.59,31,-3,11,8,18,0.58,-0.14,22,0.4,-0.03,81,63,8,4,1265.0,12
K72,4454M,16.3553,267.4965,PM503,HHOLL K72 - LSF CJR PRESIDENT 4454M,176,17,-4.9,58,90,0.2,0.51,25,-3,12,8,24,0.73,-0.01,13,0.13,0.0,114,62,6,4,1195.0,10
L44,1278J,16.2622,264.4582,PM691,HHOLL L44 - SLB AUTHORITY 1278J,142,16,-4.0,59,89,0.19,0.42,30,-5,10,9,18,0.61,-0.06,18,0.16,-0.02,79,64,8,5,1060.0,13
J04,4454M,16.1647,261.2989,PM412,HHOLL J04 - LSF CJR PRESIDENT 4454M,150,19,-6.1,48,71,0.15,0.19,22,-5,11,9,21,0.8,-0.03,2,0.02,0.0,91,59,6,5,,11
L64,1278J,16.1433,260.6054,PM740,HHOLL L64 - SLB AUTHORITY 1278J,141,17,-4.8,54,83,0.18,0.51,24,-4,11,9,17,0.63,-0.13,15,0.32,-0.02,75,66,8,4,1280.0,12
L78,1278J,16.0344,257.103,PM768,HHOLL L78 - SLB AUTHORITY 1278J,127,18,-4.7,59,85,0.16,0.41,31,-7,11,9,17,0.55,-0.09,14,0.21,-0.02,76,50,7,5,1045.0,12
G10,4454M,15.9319,253.8241,PM167,HHOLL G10 - LSF CJR PRESIDENT 4454M,157,18,-5.4,48,73,0.16,0.15,28,-4,10,9,22,0.68,-0.01,8,0.06,0.0,99,58,6,5,1115.0,11
J41,4454M,15.8217,250.3248,PM433,HHOLL J41 - LSF CJR PRESIDENT 4454M,151,19,-5.8,53,81,0.17,0.44,24,-4,11,9,20,0.83,-0.03,6,0.06,-0.0,89,62,7,4,1268.0,11
J45,4454M,15.781,249.0388,PM349,HHOLL J45 - LSF CJR PRESIDENT 4454M,162,15,-4.2,59,90,0.19,0.53,30,-2,11,7,21,0.81,-0.05,16,0.26,0.0,93,69,8,4,1250.0,12
K59,4454M,15.6512,244.9588,PM468,HHOLL K59 - LSF CJR PRESIDENT 4454M,149,17,-5.3,55,82,0.16,0.38,32,-2,11,9,21,0.75,-0.01,8,0.07,0.0,93,56,7,5,1160.0,12
L12,1278J,15.5904,243.0609,PM635,HHOLL L12 - SLB AUTHORITY 1278J,142,15,-3.6,59,88,0.18,0.49,29,-5,11,8,18,0.6,-0.13,18,0.37,-0.02,79,63,8,4,1040.0,12
K82,4454M,15.5819,242.7958,PM510,HHOLL K82 - LSF CJR PRESIDENT 4454M,157,18,-5.2,59,88,0.18,0.41,29,-3,10,8,23,0.69,-0.01,12,0.12,0.0,102,55,6,5,1070.0,11
H11,1278J,15.5411,241.525,PM243,HHOLL H11 - SLB AUTHORITY 1278J,138,19,-4.8,48,69,0.13,0.12,26,-9,11,10,20,0.45,-0.08,8,0.1,-0.02,95,43,5,5,1050.0,10
J33,4454M,15.4984,240.1996,PM335,HHOLL J33 - LSF CJR PRESIDENT 4454M,154,17,-5.0,57,84,0.17,0.38,32,-4,11,8,22,0.75,-0.01,8,0.07,0.0,98,56,6,5,1395.0,11
G22,4454M,15.4171,237.6861,PM181,HHOLL G22 - LSF CJR PRESIDENT 4454M,167,16,-4.8,57,86,0.18,0.37,31,-2,10,8,24,0.69,-0.01,11,0.12,0.0,110,57,6,5,1375.0,11
K67,4454M,15.3803,236.5539,PM482,HHOLL K67 - LSF CJR PRESIDENT 4454M,175,15,-3.8,59,92,0.2,0.53,29,-2,12,8,24,0.74,-0.0,13,0.11,0.0,113,62,7,4,1130.0,11
K32,1278J,15.0345,226.036,PM439,HHOLL K32 - SLB AUTHORITY 1278J,137,16,-3.3,55,81,0.17,0.25,31,-7,11,8,17,0.59,-0.07,19,0.16,-0.02,73,65,7,5,1070.0,12
L29,4454M,15.0247,225.7415,PM664,HHOLL L29 - LSF CJR PRESIDENT 4454M,155,16,-4.9,54,82,0.17,0.37,27,-4,11,8,20,0.86,-0.05,7,0.13,-0.0,88,67,6,5,1170.0,11
E30,4454M,14.9644,223.9322,PM97,E30 - LSF CJR PRESIDENT 4454M,166,16,-4.0,54,79,0.15,0.21,30,-5,10,8,25,0.62,-0.01,11,0.05,-0.0,116,50,6,5,1230.0,11
K68,1278J,14.7975,218.9669,PM579,HHOLL K68 - SLB AUTHORITY 1278J,137,16,-4.0,61,89,0.18,0.44,33,-6,11,9,18,0.55,-0.1,13,0.19,-0.02,87,50,7,4,1055.0,11
H26,1278J,14.7895,218.7293,PM271,HHOLL H26 - SLB AUTHORITY 1278J,142,17,-3.8,58,84,0.16,0.37,30,-6,11,9,21,0.44,-0.09,13,0.17,-0.02,99,42,6,5,1150.0,11
C28,1278J,14.4826,209.747,PM40,C28 - SLB AUTHORITY 1278J,139,16,-3.4,56,81,0.15,0.26,31,-6,10,9,21,0.41,-0.1,15,0.17,-0.03,96,43,6,5,1268.0,11
J76,1278J,14.4484,208.7564,PM327,HHOLL J76 - SLB AUTHORITY 1278J,140,15,-3.0,56,83,0.17,0.28,32,-7,11,8,17,0.59,-0.07,19,0.16,-0.02,75,64,7,5,1440.0,12
M42,1278J,14.4477,208.7363,PM866,HHOLL M42 - SLB AUTHORITY 1278J,152,15,-3.3,69,103,0.22,0.65,31,-2,11,8,19,0.56,-0.06,27,0.2,-0.03,90,63,7,4,1075.0,11
J10,1278J,14.3881,207.0183,PM362,HHOLL J10 - SLB AUTHORITY 1278J,129,18,-4.8,55,81,0.16,0.28,30,-6,10,9,19,0.46,-0.09,13,0.17,-0.02,81,48,6,5,1065.0,11
J11,1278J,14.1529,200.3041,PM390,HHOLL J11 - SLB AUTHORITY 1278J,144,14,-3.0,60,90,0.19,0.47,30,-5,11,8,18,0.6,-0.13,18,0.37,-0.02,80,64,7,4,1260.0,11
H42,1278J,13.7767,189.797,PM320,HHOLL H42 - SLB AUTHORITY 1278J,134,16,-4.2,62,91,0.18,0.49,30,-6,11,9,18,0.55,-0.09,13,0.18,-0.02,85,50,7,4,1130.0,11
D10,1278J,13.6963,187.5877,PM75,D10 - SLB AUTHORITY 1278J,144,16,-3.6,53,76,0.14,0.09,25,-9,11,9,21,0.44,-0.09,10,0.12,-0.02,102,43,5,5,1190.0,10
M37,N54,13.6668,186.7817,PM121,HHOLL M37 - HHOLL N54,162,18,-4.7,59,96,0.23,0.62,28,0,13,9,20,0.66,0.05,24,0.06,0.0,89,72,8,2,1100.0,10
K14,1278J,13.6072,185.1572,PM607,HHOLL K14 - SLB AUTHORITY 1278J,128,16,-4.1,56,82,0.16,0.33,27,-7,11,9,17,0.57,-0.11,9,0.15,-0.03,77,51,6,5,,11
J40,N54,12.8665,165.5478,PM53,HHOLL J40 - HHOLL N54,150,16,-4.1,49,78,0.18,0.28,26,-5,12,8,20,0.63,-0.02,11,0.14,0.0,87,64,6,5,1060.0,11
G29,1278J,12.6777,160.7239,PM194,HHOLL G29 - SLB AUTHORITY 1278J,129,16,-3.7,62,91,0.18,0.41,29,-5,10,9,18,0.47,-0.09,17,0.19,-0.03,80,49,6,5,1150.0,11
G35,1278J,12.1857,148.4925,PM208,HHOLL G35 - SLB AUTHORITY 1278J,139,16,-3.2,60,85,0.16,0.42,32,-6,10,8,22,0.41,-0.09,13,0.12,-0.03,103,36,5,5,1200.0,10
K40,N54,11.5357,133.0734,PM88,HHOLL K40 - HHOLL N54,130,19,-4.9,50,76,0.16,0.31,24,-6,12,9,18,0.62,-0.01,6,0.01,0.0,78,52,6,5,1060.0,11
J80,N54,10.8757,118.2815,PM60,HHOLL J80 - HHOLL N54,140,18,-4.4,54,83,0.18,0.38,27,-5,12,8,19,0.62,-0.01,8,0.04,0.0,88,52,5,5,1080.0,10
J27,N54,10.8259,117.1993,PM55,HHOLL J27 - HHOLL N54,150,15,-3.4,51,81,0.19,0.41,31,0,12,8,20,0.63,-0.02,13,0.16,0.0,88,63,7,4,1035.0,11
L06,N54,10.7276,115.0824,PM89,HHOLL L06 - HHOLL N54,133,18,-4.7,56,87,0.19,0.51,25,-5,12,9,17,0.71,-0.02,9,0.06,0.0,74,59,6,4,890.0,10
L32,N54,10.3036,106.1633,PM97,HHOLL L32 - HHOLL N54,161,16,-4.2,59,96,0.23,0.56,26,-1,13,8,20,0.61,0.05,24,0.07,0.0,91,71,7,2,1065.0,9
K11,N54,9.9125,98.2572,PM85,HHOLL K11 - HHOLL N54,137,18,-4.8,53,83,0.19,0.44,23,-4,12,9,18,0.61,-0.01,9,0.05,0.0,82,55,6,4,1095.0,10
L94,N54,9.8114,96.2636,PM112,HHOLL L94 - HHOLL N54,161,16,-4.0,60,94,0.21,0.58,30,-1,12,8,21,0.61,0.06,23,0.03,0.0,96,64,7,2,1032.0,9
M45,N54,8.9049,79.2967,PM128,HHOLL M45 - HHOLL N54,144,16,-3.8,55,90,0.22,0.49,29,-2,13,8,18,0.65,0.03,15,0.1,0.01,78,66,8,2,972.0,10
L60,N54,8.6221,74.3402,PM103,HHOLL L60 - HHOLL N54,140,16,-3.9,55,86,0.19,0.53,30,-2,12,8,18,0.63,-0.02,15,0.18,0.01,78,62,7,3,1060.0,10
L88,N54,7.9255,62.8138,PM111,HHOLL L88 - HHOLL N54,133,17,-4.1,56,85,0.18,0.44,26,-5,12,8,17,0.69,-0.02,7,0.04,0.0,77,55,5,4,898.0,9
L31,N54,7.894,62.3156,PM96,HHOLL L31 - HHOLL N54,137,15,-3.2,57,88,0.19,0.5,27,-3,12,8,17,0.69,-0.03,12,0.13,0.0,76,62,6,4,1082.0,10
L20,N54,7.8434,61.5182,PM92,HHOLL L20 - HHOLL N54,138,15,-3.2,62,95,0.21,0.63,27,-4,13,7,18,0.69,-0.01,12,0.09,0.0,81,57,6,4,1060.0,10
G34,Z124G,7.7148,59.5185,PM197,HHOLL G34 - LASO SPLASH Z124G,130,15,-3.1,50,78,0.17,0.41,23,-3,11,7,19,0.56,-0.1,11,0.35,0.0,76,54,6,5,1235.0,11
M83,N54,7.6664,58.774,PM130,HHOLL M83 - HHOLL N54,144,16,-3.8,55,90,0.22,0.5,29,-1,13,8,18,0.65,0.02,15,0.1,0.01,78,66,8,1,1100.0,9
L73,N54,7.607,57.8658,PM109,HHOLL L73 - HHOLL N54,136,16,-3.9,53,82,0.18,0.47,27,-3,12,8,18,0.69,-0.03,9,0.09,0.0,75,60,5,4,980.0,9
F19,D172,6.869,47.1831,PM122,F19 - VF SILVER BOW D172,136,17,-3.5,49,81,0.2,0.42,20,-4,14,9,19,0.43,-0.01,11,0.09,0.01,89,47,6,4,1105.0,10
J03,8269,6.3492,40.312,PM338,HHOLL J03 - FEDDES DEFENDER Y17-8269,111,18,-4.8,53,76,0.15,0.43,25,-6,12,9,18,0.54,-0.03,-1,-0.03,0.0,78,32,5,5,,10
H44,Z124G,5.825,33.9301,PM288,HHOLL H44 - LASO SPLASH Z124G,128,15,-3.2,49,77,0.18,0.43,22,0,11,8,19,0.56,-0.1,10,0.33,0.0,73,55,6,4,1050.0,10
K05,1181J,5.8197,33.8683,PM515,HHOLL K05 - LSF SRR CHARTER 1181J,160,12,-1.8,73,119,0.29,0.88,25,2,12,7,20,0.57,0.05,35,0.1,-0.01,88,73,9,1,,10
M56,K20B,5.5647,30.9655,PM116,HHOLL M56 - HHOLL K20B,129,16,-3.3,62,94,0.2,0.51,22,-4,11,8,18,0.56,-0.02,15,0.05,-0.01,76,53,5,4,,9
J46,D172,4.8892,23.9038,PM423,HHOLL J46 - VF SILVER BOW D172,142,15,-3.1,60,100,0.25,0.83,18,-1,14,8,19,0.58,-0.03,12,0.12,-0.0,85,57,6,3,1165.0,9
G65,8269,4.7856,22.9019,PM219,HHOLL G65 - FEDDES DEFENDER Y17-8269,123,15,-3.2,54,81,0.16,0.37,29,-5,11,8,20,0.46,-0.03,3,0.02,0.0,90,33,5,5,1230.0,10
D19,K20B,4.7684,22.7378,PM10,D19 - HHOLL K20B,108,18,-4.1,50,72,0.14,0.28,24,-7,10,9,18,0.44,-0.05,1,0.01,-0.01,76,32,4,5,1550.0,9
K52,8269,4.1181,16.959,PM583,HHOLL K52 - FEDDES DEFENDER Y17-8269,120,15,-3.8,52,82,0.19,0.55,24,-3,13,7,17,0.64,-0.06,4,0.15,0.0,68,52,5,4,1105.0,9
M17,8269,4.0362,16.2912,PM856,HHOLL M17 - FEDDES DEFENDER Y17-8269,122,15,-3.3,64,97,0.2,0.7,29,-3,12,7,18,0.61,0.01,10,0.03,0.0,76,45,6,4,1160.0,10
L28,D172,3.6816,13.5541,PM654,HHOLL L28 - VF SILVER BOW D172,148,13,-2.5,56,95,0.24,0.74,15,0,14,7,20,0.56,-0.05,14,0.25,0.0,87,61,7,2,1130.0,9
D23,Z124G,3.6766,13.5173,PM78,D23 - LASO SPLASH Z124G,129,13,-2.4,49,77,0.17,0.42,25,-2,11,7,18,0.57,-0.1,12,0.36,0.0,71,58,5,4,1165.0,9
C16,K20B,3.5745,12.7772,PM2,C16 - HHOLL K20B,115,17,-3.3,53,75,0.13,0.23,22,-8,10,8,20,0.4,-0.05,1,-0.05,-0.02,90,25,3,5,1370.0,8
J05,8269,3.5466,12.5782,PM401,HHOLL J05 - FEDDES DEFENDER Y17-8269,121,15,-3.3,64,95,0.2,0.75,28,-4,12,8,18,0.58,-0.03,5,0.06,0.0,83,38,5,4,,9
L10,Z124G,3.544,12.5599,PM1,HHOLLL10 - LASO SPLASH Z124G,132,12,-1.8,47,72,0.16,0.25,22,-4,11,6,19,0.54,-0.11,10,0.31,-0.01,78,54,5,4,,9
M57,1181J,3.3957,11.5311,PM837,HHOLL M57 - LSF SRR CHARTER 1181J,160,10,-1.6,74,124,0.31,0.93,26,5,12,6,18,0.67,0.09,44,0.09,-0.01,70,91,9,1,1035.0,10
K21,Z124G,3.2235,10.3911,PM470,HHOLL K21 - LASO SPLASH Z124G,122,13,-2.6,51,81,0.19,0.41,29,-1,10,6,17,0.58,-0.11,14,0.4,-0.0,59,63,6,3,1280.0,9
K60,K20B,3.0975,9.5945,PM65,HHOLL K60 - HHOLL K20B,111,18,-4.0,51,77,0.16,0.36,25,-4,10,8,17,0.59,-0.02,5,-0.05,-0.01,64,47,3,5,1340.0,8
L61,K20B,3.0627,9.3802,PM104,HHOLL L61 - HHOLL K20B,102,19,-4.9,47,70,0.14,0.35,20,-7,10,9,16,0.55,-0.05,-2,-0.03,-0.01,64,37,3,5,,8
G07,Z124G,2.9191,8.5212,PM155,HHOLL G07 - LASO SPLASH Z124G,126,14,-2.8,46,73,0.17,0.34,16,-3,11,7,19,0.57,-0.09,9,0.32,0.0,70,56,5,4,,9
F08,1181J,2.8267,7.9902,PM116,F08 - LSF SRR CHARTER 1181J,162,10,-0.8,71,117,0.28,0.8,25,1,12,6,20,0.57,0.05,34,0.1,-0.01,89,74,8,1,1500.0,9
L33,K20B,2.8223,7.9653,PM98,HHOLL L33 - HHOLL K20B,125,15,-3.0,58,89,0.19,0.57,23,-4,11,8,19,0.5,-0.05,8,0.08,-0.01,82,43,4,4,998.0,8
F83,K20B,2.7939,7.8058,PM22,F83 - HHOLL K20B,107,17,-3.7,56,81,0.16,0.4,28,-4,9,8,18,0.41,-0.06,8,0.05,-0.02,75,32,3,5,1185.0,8
C17,K20B,2.7803,7.7301,PM8,C17 - HHOLL K20B,114,17,-3.3,56,81,0.15,0.34,23,-7,10,8,19,0.42,-0.05,5,0.0,-0.01,83,31,3,5,1215.0,8
C14,K20B,2.5966,6.7423,PM5,C14 - HHOLL K20B,109,17,-3.3,52,75,0.14,0.14,20,-8,9,8,19,0.4,-0.06,2,-0.04,-0.02,79,30,3,5,1165.0,8
K51,K20B,2.507,6.2848,PM66,HHOLL K51 - HHOLL K20B,115,17,-3.9,50,78,0.17,0.43,19,-5,11,8,18,0.5,-0.05,4,0.02,-0.01,72,43,3,5,1315.0,8
K30,K20B,2.283,5.2122,PM79,HHOLL K30 - HHOLL K20B,123,15,-3.0,54,83,0.18,0.49,23,-6,11,7,19,0.5,-0.05,5,0.03,-0.01,81,42,4,4,1000.0,8
E29,K20B,2.2541,5.0811,PM13,E29 - HHOLL K20B,120,15,-2.5,53,76,0.14,0.31,26,-7,10,8,20,0.41,-0.06,4,-0.0,-0.01,92,29,4,4,1330.0,8
M59,1181J,2.2327,4.9851,PM823,HHOLL M59 - LSF SRR CHARTER 1181J,148,11,-1.6,68,111,0.27,0.8,26,3,12,6,17,0.66,0.01,35,0.25,-0.01,66,82,6,2,1115.0,8
K34,K20B,2.061,4.2477,PM81,HHOLL K34 - HHOLL K20B,115,16,-3.2,60,90,0.19,0.56,29,-3,10,7,17,0.58,-0.02,11,0.03,-0.01,66,49,4,4,1275.0,8
C19,K20B,1.9602,3.8424,PM3,C19 - HHOLL K20B,107,17,-3.2,56,79,0.15,0.38,26,-6,9,8,19,0.4,-0.05,4,-0.03,-0.02,82,25,3,5,1280.0,8
L56,K20B,1.7703,3.134,PM101,HHOLL L56 - HHOLL K20B,103,17,-4.1,52,75,0.14,0.38,26,-7,10,8,17,0.51,-0.05,-2,-0.06,-0.01,72,31,3,5,1035.0,8
H31,K20B,1.7359,3.0135,PM44,HHOLL H31 - HHOLL K20B,109,18,-3.9,52,76,0.15,0.28,19,-7,10,8,19,0.45,-0.04,0,0.01,-0.0,78,31,3,5,1260.0,8
H50,8269,1.7124,2.9323,PM254,HHOLL H50 - FEDDES DEFENDER Y17-8269,115,15,-3.2,58,86,0.18,0.52,31,-4,12,7,18,0.48,-0.03,6,0.08,0.0,78,36,4,4,1245.0,8
M13,D172,1.6147,2.6072,PM801,HHOLL M13 - VF SILVER BOW D172,144,11,-1.5,58,98,0.25,0.67,19,0,14,6,19,0.55,-0.05,14,0.25,0.0,81,63,7,2,703.0,9
K56,1181J,1.6111,2.5955,PM543,HHOLL K56 - LSF SRR CHARTER 1181J,156,10,-1.2,70,115,0.28,0.83,25,3,12,6,20,0.57,0.05,34,0.09,-0.01,82,74,8,1,1080.0,9
D29,K20B,1.5421,2.3779,PM9,D29 - HHOLL K20B,107,17,-3.7,50,72,0.14,0.26,21,-6,10,8,19,0.44,-0.05,0,-0.0,-0.01,76,31,3,5,1340.0,8
G09,1181J,1.4067,1.9788,PM228,HHOLL G09 - LSF SRR CHARTER 1181J,152,12,-1.9,66,111,0.28,0.75,24,3,12,6,19,0.57,0.06,33,0.07,-0.01,77,75,7,1,,8
H86,K20B,1.3882,1.9271,PM36,HHOLL H86 - HHOLL K20B,112,16,-3.1,55,79,0.15,0.35,21,-7,10,8,19,0.44,-0.05,2,0.02,-0.01,83,29,3,5,2113.0,8
K43,8269,1.1313,1.2799,PM520,HHOLL K43 - FEDDES DEFENDER Y17-8269,108,16,-4.1,58,85,0.17,0.62,26,-4,12,8,17,0.54,-0.03,4,0.02,0.0,74,34,4,4,1100.0,8
H37,K20B,1.0138,1.0277,PM34,HHOLL H37 - HHOLL K20B,113,17,-3.9,55,84,0.18,0.51,18,-5,11,8,18,0.41,-0.07,7,0.07,-0.01,77,36,3,4,,7
L63,1181J,0.9333,0.8711,PM732,HHOLL L63 - LSF SRR CHARTER 1181J,139,9,-0.7,74,119,0.28,0.9,27,5,11,5,17,0.64,0.0,37,0.26,-0.01,59,80,9,2,1050.0,11
K38B,1181J,0.9116,0.8311,PM529,HHOLL K38B - LSF SRR CHARTER 1181J,148,11,-1.2,71,115,0.27,0.79,29,3,11,6,18,0.64,0.08,35,0.0,-0.01,72,76,8,1,,9
K25,K20B,0.9026,0.8147,PM70,HHOLL K25 - HHOLL K20B,101,17,-4.1,56,81,0.16,0.43,24,-6,10,8,17,0.52,-0.06,1,0.01,-0.01,67,34,2,5,1180.0,7
L22,D172,0.892,0.7957,PM647,HHOLL L22 - VF SILVER BOW D172,125,14,-2.3,64,104,0.25,0.78,21,-2,14,7,17,0.55,-0.04,11,0.11,-0.0,73,53,5,3,938.0,8
F21,Z124G,0.7742,0.5994,PM127,F21 - LASO SPLASH Z124G,126,12,-1.8,56,88,0.2,0.5,23,-2,11,6,18,0.58,-0.11,13,0.35,-0.01,67,59,4,3,1175.0,7
L49,1181J,0.6429,0.4133,PM697,HHOLL L49 - LSF SRR CHARTER 1181J,156,9,-1.0,73,122,0.31,0.88,26,5,12,6,18,0.66,0.09,41,0.06,-0.01,68,89,8,1,1080.0,9
L66,K20B,0.4989,0.2489,PM107,HHOLL L66 - HHOLL K20B,111,15,-3.0,58,84,0.16,0.49,26,-6,10,8,18,0.52,-0.06,3,0.03,-0.01,76,35,3,4,1188.0,7
C66,D172,0.4731,0.2239,PM24,C66 - VF SILVER BOW D172,131,15,-2.7,57,92,0.22,0.6,20,-2,13,7,21,0.38,-0.01,9,0.02,-0.0,94,37,5,3,1250.0,8
F06,Z124G,-0.0978,-0.0096,PM106,F06 - LASO SPLASH Z124G,130,11,-1.5,56,86,0.19,0.54,27,0,10,6,20,0.54,-0.11,14,0.35,-0.01,76,54,5,2,1310.0,7
K69,1181J,-0.1406,-0.0198,PM571,HHOLL K69 - LSF SRR CHARTER 1181J,127,13,-2.3,74,117,0.26,0.92,29,3,11,7,16,0.59,0.04,33,0.1,-0.01,60,67,7,1,1310.0,8
K04B,K20B,-0.5334,-0.2846,PM71,HHOLL K04B - HHOLL K20B,115,16,-3.2,54,83,0.18,0.53,18,-5,11,7,18,0.5,-0.05,5,0.03,-0.01,74,41,3,4,,7
E59,1181J,-0.5689,-0.3236,PM102,E59 - LSF SRR CHARTER 1181J,148,10,-0.4,67,106,0.24,0.55,29,0,10,6,20,0.47,0.04,33,0.05,-0.02,85,64,6,1,1355.0,7
M62,D172,-0.6241,-0.3895,PM794,HHOLL M62 - VF SILVER BOW D172,139,11,-1.5,64,105,0.26,0.92,23,3,14,6,19,0.55,-0.05,16,0.27,0.0,82,58,6,2,1155.0,8
C47,K20B,-0.7566,-0.5725,PM7,C47 - HHOLL K20B,115,15,-2.6,53,77,0.15,0.38,27,-4,10,7,20,0.41,-0.06,4,0.0,-0.01,85,30,3,4,1155.0,7
H62,1181J,-0.7861,-0.618,PM263,HHOLL H62 - LSF SRR CHARTER 1181J,149,10,-1.3,68,112,0.28,0.79,24,3,12,6,19,0.57,0.05,31,0.06,-0.01,77,72,7,1,1300.0,8
M86,8269,-0.9752,-0.951,PM786,HHOLL M86 - FEDDES DEFENDER Y17-8269,122,13,-2.3,60,90,0.19,0.55,29,-4,11,6,18,0.59,0.0,7,-0.03,-0.0,77,44,5,3,,8
