RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM26,HHOLL N11 - GMRA PATRIOT N5243,147,17,-3.8,69,111,0.26,0.74,30,-1,10,9,18,0.56,0.05,31,0.16,0.0,78,69,N11, N5243,9,2,11,1.2440943294770472,0.9586025865388217,0.46536062312376636,-0.3947898672094629,-0.23429084502076233,-0.32910332602939524,-1.6858544608470494,0.0,0.22914984728263,0.5992953608843182,0.161545560590032,-0.9417836915869431,0.6228176588025004,1.2374635245799082,0.8862113453372324,-1.0359093831660047,-0.3241085373378542,-0.6941486428370542,-0.0,12.558393731966254
PM27,HHOLL N11 - HHOLL N17,146,16,-3.7,65,100,0.22,0.75,28,-2,11,8,18,0.62,-0.02,26,0.21,-0.01,79,67,N11, N17,6,4,10,1.1980167617186381,0.47930129326941084,-0.46536062312376636,-0.7895797344189258,-0.8785906688278587,-0.9873099780881853,-1.1239029738980328,-0.7053800221226546,0.9165993891305187,0.5992953608843182,-0.24231834088504803,-0.41857052959419705,0.7006698661528128,0.9280976434349312,0.7754349271700787,-1.069325814881037,-0.0,0.5206114821277906,1.0529461772445508,11.564370063551442
PM28,HHOLL N16 - BHR CENTERFIRE 57,159,14,-2.7,69,111,0.26,0.82,29,-6,13,7,18,0.69,-0.02,19,0.34,0.02,91,68,N16, 57,8,2,10,1.797025142577957,-0.47930129326941084,0.0,-0.3947898672094629,-0.23429084502076233,-0.32910332602939524,0.0,-1.4107600442453092,1.7186238546197223,0.5992953608843182,-0.8077278029501601,0.9417836915869433,1.6348963543565636,1.0827805840074196,-0.332329254501462,-1.3032408368862638,1.2964341493514169,0.5206114821277906,-2.1058923544891015,12.268904704391211
PM29,HHOLL N16 - GMRA PATRIOT N5243,167,14,-2.7,70,113,0.26,0.72,31,-3,13,7,20,0.67,0.06,25,0.18,0.02,96,71,N16, N5243,7,1,8,2.1656456846452303,-0.47930129326941084,0.9307212462475327,-0.29609240040709717,-0.11714542251038117,-0.32910332602939524,0.0,-1.4107600442453092,1.4894740073370938,1.7978860826529546,-0.323091121180064,-0.7324984267898448,2.0241573911081265,1.5468294057248855,-0.332329254501462,-0.9690765197359398,0.3241085373378542,-0.8676858035463177,-2.1058923544891015,10.282814653173386
PM30,HHOLL N16 - HHOLL N17,166,12,-2.5,66,103,0.23,0.72,28,-4,13,7,20,0.74,-0.01,19,0.22,0.01,97,69,N16, N17,6,2,8,2.119568116886821,-1.4379038798082324,-0.46536062312376636,-0.6908822676165601,-0.7028725350622871,-0.822758315073488,0.0,-1.4107600442453092,2.2914984728262975,1.7978860826529546,-0.8077278029501601,-0.31392789719564773,2.1020095984584386,1.2374635245799082,-0.5538820908357703,-0.9690765197359398,0.6482170746757084,0.3470743214185271,-1.0529461772445508,9.29354450004225
PM34,HHOLL N23 - BHR CENTERFIRE 57,127,18,-3.8,61,94,0.21,0.7,31,-8,12,9,15,0.61,-0.05,13,0.28,0.01,71,55,N23, 57,7,3,10,0.3225429743088641,1.4379038798082324,0.9307212462475327,-1.1843696016283887,-1.2300269363590022,-1.151861641102883,-0.5619514869490164,0.0,0.8020244654892037,-1.1985907217686365,-1.292364484720256,0.313927897195648,0.07785220735031255,-0.9280976434349312,0.8862113453372324,-0.9022436563058748,1.9446512240271252,1.0412229642555815,-1.0529461772445508,10.180756063404004
PM35,HHOLL N23 - GMRA PATRIOT N5243,134,18,-3.8,62,97,0.21,0.6,32,-4,11,8,17,0.59,0.03,19,0.12,0.01,76,58,N23, N5243,6,2,8,0.6450859486177282,1.4379038798082324,1.3960818693712993,-1.0856721348260232,-1.0543088025934306,-1.151861641102883,-1.1239029738980328,-0.7053800221226546,0.5728746182065738,0.0,-0.8077278029501601,-1.3603542211811401,0.46711324410187527,-0.4640488217174656,0.8862113453372324,-0.5680793391555509,0.6482170746757084,-0.34707432141852707,-1.0529461772445508,6.121074130522074
PM36,HHOLL N23 - HHOLL N17,134,16,-3.7,58,86,0.18,0.6,30,-5,12,8,17,0.65,-0.04,13,0.17,0.0,78,56,N23, N17,6,4,10,0.6450859486177282,0.47930129326941084,0.46536062312376636,-1.480462002035486,-1.698608626400527,-1.645516630146976,-0.5619514869490164,-0.7053800221226546,1.260324160054464,0.0,-1.292364484720256,-0.8371410591883938,0.6228176588025004,-0.7734147028624427,0.7754349271700787,-0.5680793391555509,0.9723256120135626,0.8676858035463177,-0.0,8.354603633869239
PM37,HHOLL N25 - BHR CENTERFIRE 57,119,18,-4.3,61,94,0.2,0.76,31,-7,12,9,16,0.57,-0.07,9,0.28,0.01,73,47,N25, 57,6,3,9,-0.04607756775840916,1.4379038798082324,0.9307212462475327,-1.1843696016283887,-1.2300269363590022,-1.3164133041175803,-0.5619514869490164,0.0,0.3437247709239437,-0.5992953608843182,-1.6154556059003202,0.313927897195648,0.23355662205093763,-2.165561168014839,1.4400934361730027,-1.1027422465960695,1.620542686689271,1.3882972856741085,-1.0529461772445508,7.7600785782079935
PM38,HHOLL N25 - GMRA PATRIOT N5243,127,18,-4.2,63,96,0.21,0.66,32,-3,11,9,18,0.55,0.01,15,0.12,0.01,77,49,N25, N5243,7,3,10,0.3225429743088641,1.4379038798082324,1.3960818693712993,-0.9869746680236573,-1.112881513848621,-1.151861641102883,-1.1239029738980328,0.0,0.114574923641315,0.5992953608843182,-1.130818924130224,-1.3603542211811401,0.5449654514521878,-1.8561952868698623,1.329317018005849,-0.7685779294457455,0.3241085373378542,-0.0,-1.0529461772445508,7.293156709905458
PM39,HHOLL N25 - HHOLL N17,126,16,-4.1,58,86,0.17,0.66,30,-4,12,8,18,0.62,-0.06,9,0.17,0.0,79,47,N25, N17,6,4,10,0.27646540655045493,0.47930129326941084,0.46536062312376636,-1.480462002035486,-1.698608626400527,-1.810068293161673,-0.5619514869490164,-0.7053800221226546,0.9165993891305187,0.5992953608843182,-1.6154556059003202,-0.8371410591883938,0.7006698661528128,-2.165561168014839,1.2185405998386942,-0.7685779294457455,0.6482170746757084,1.2147601249648448,-0.0,6.705189506224585
PM43,HHOLL N34 - BHR CENTERFIRE 57,136,15,-2.8,60,99,0.25,0.93,24,-5,13,8,18,0.56,-0.06,12,0.3,0.01,82,55,N34, 57,7,2,9,0.7372410841345466,0.0,-2.3268031156188322,-1.2830670684307544,-0.9371633800830493,-0.493654989044093,0.0,-0.7053800221226546,0.22914984728263,0.5992953608843182,-1.373137265015272,0.523213161992746,0.9342264882037505,-0.9280976434349312,-0.22155283633430833,-1.6708215857516204,0.9723256120135626,1.2147601249648448,-1.0529461772445508,4.327702820653233
PM44,HHOLL N34 - GMRA PATRIOT N5243,144,15,-2.8,61,101,0.25,0.83,25,-1,12,7,20,0.53,0.02,18,0.14,0.01,86,58,N34, N5243,4,0,4,1.1058616262018197,0.0,-1.8614424924950654,-1.1843696016283887,-0.8200179575726683,-0.493654989044093,-0.5619514869490164,-1.4107600442453092,-0.114574923641315,1.7978860826529546,-0.8885005832451761,-1.1510689563840415,1.2456353176050008,-0.4640488217174656,-0.22155283633430833,-1.336657268601296,-0.3241085373378542,-0.17353716070926356,-1.0529461772445508,-2.9076150310895086
