RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,Weight,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM285,HHOLL H61 - SLB AUTHORITY 1278J,139,19,-4.8,53,77,0.15,0.23,28,-7,10,10,20,0.44,-0.09,11,0.15,-0.02,95,43,H61,1278J,5,5,938.0,10,0.7691014393623876,1.6607926068938361,-0.19531591563665737,-1.2375452083782805,-1.381446686412152,-1.4562918707343453,-1.5396298413664726,0.5865079429229716,-0.8218673202392512,1.0277879935536718,-1.0033681811074107,-0.5684040087601048,1.325202691648706,-1.1795812455623467,1.4566586095018148,0.9669615177307698,1.6405288617145142,1.380084129899012,1.7322720004447638,15.717537918041021
PM611,HHOLL K40 - FEDDES DEFENDER Y17-8269,99,18,-4.8,52,75,0.15,0.42,23,-6,12,8,15,0.57,-0.06,-3,-0.02,-0.01,64,35,K40,8269,2,5,1060.0,7,-0.85005948561106,1.245594455170377,-1.1718954938199442,-1.2994224687971945,-1.4541544067496337,-1.4562918707343453,-0.5132099471221576,-0.5865079429229716,0.2465601960717746,-0.6851919957024478,-1.783765655302063,-1.534690823652283,-0.31804864599568944,-1.7038395769233898,1.4566586095018148,0.04834807588653853,1.3124230893716113,0.9660588909293083,0.8661360002223819,2.095685282971825
PM26,HHOLL G22 - HHOLL K20B,118,17,-3.9,55,81,0.16,0.41,26,-5,10,8,19,0.46,-0.05,6,0.06,-0.01,81,37,G22,K20B,3,5,1375.0,8,-0.08095804624867238,0.8303963034469181,-0.5859477469099721,-1.1137906875404524,-1.2360312457371887,-1.3442694191393956,-1.5396298413664726,-0.5865079429229716,-0.6574938561914009,0.6851919957024478,-1.2820815647483579,-1.0799676166441992,0.5830891843254307,-1.572774994083129,0.7283293047509074,0.09669615177307705,0.9843173170287085,0.8280504779394074,0.8661360002223819,4.320461967881075
PM510,HHOLL K82 - LSF CJR PRESIDENT 4454M,157,18,-5.2,59,88,0.18,0.41,29,-3,10,8,23,0.69,-0.01,12,0.12,0.0,102,55,K82,4454M,6,5,1070.0,11,1.497723855600439,1.245594455170377,0.0,-0.8662816458647963,-0.9815542245560028,-1.1202245159494966,-1.5396298413664726,-0.5865079429229716,1.2328009803588758,2.0555759871073436,-0.9476255043792209,-0.7389252113881363,1.696259445310344,-0.39319374852078226,1.780360522724441,0.09669615177307705,0.32810577234290283,0.2760168259798024,-0.0,15.893305138007905
PM635,HHOLL L12 - SLB AUTHORITY 1278J,142,15,-3.6,59,88,0.18,0.49,29,-5,11,8,18,0.6,-0.13,18,0.37,-0.02,79,63,L12,1278J,8,4,1040.0,12,0.8905385087353962,0.0,0.0,-0.8662816458647963,-0.9815542245560028,-1.1202245159494966,-1.0264198942443152,-0.5865079429229716,0.49312039214355013,0.3425959978512239,-0.6131694440100842,0.6820848105121258,0.47707296899353413,0.13106458284026076,0.4855528698339384,-0.29008845531923094,0.9843173170287085,1.9321177818586173,1.7322720004447638,15.59040904258562
PM187,HHOLL G25 - SLB AUTHORITY 1278J,143,16,-3.8,60,87,0.17,0.32,30,-7,11,8,21,0.44,-0.09,15,0.21,-0.02,98,45,G25,1278J,5,5,1350.0,10,0.9310175318597322,0.41519815172345903,0.19531591563665737,-0.8044043854458822,-1.0179080847247437,-1.232246967544446,-1.0264198942443152,-0.5865079429229716,-0.8218673202392512,1.3703839914048956,-0.7803974741946527,-0.22736160350404197,1.4842270146465508,-1.048516662722086,0.6474038264452511,0.5318288347519234,1.6405288617145142,1.380084129899012,1.7322720004447638,14.005184771862275
PM842,HHOLL M37 - FEDDES DEFENDER Y17-8269,130,17,-4.5,60,95,0.21,0.73,26,-1,12,9,17,0.61,0.01,15,0.02,-0.0,76,54,M37,8269,6,3,1100.0,9,0.40479023124336183,0.8303963034469181,-0.5859477469099721,-0.8044043854458822,-0.7270772033748168,-0.7841571611646476,-0.5132099471221576,0.0,0.5753071241674752,0.0,-0.7803974741946527,-1.307329220148241,0.31804864599568944,-0.4587260399409126,1.213882174584846,-1.4504422765961547,-0.32810577234290283,-0.0,0.0,5.991165274193488
PM883,HHOLL M64 - LASO SPLASH Z124G,127,15,-3.7,53,85,0.2,0.62,21,0,11,7,15,0.78,-0.16,15,0.55,-0.0,49,78,M64,Z124G,5,3,1005.0,8,0.2833531618703533,0.0,-1.562527325093259,-1.2375452083782805,-1.0906158050622252,-0.8961796127595971,-1.0264198942443152,-1.1730158858459432,1.972481568574202,-0.6851919957024478,-0.7803974741946527,1.7052120262803145,-1.113170260984913,1.1140489541422165,0.566478348139595,-0.9186134418442313,-0.6562115446858057,2.3461430208283205,0.0,6.011909137759583
PM123,HHOLL M17 - HHOLL K20B,118,16,-3.3,63,95,0.2,0.61,26,-4,10,7,18,0.6,-0.02,11,0.05,-0.01,70,48,M17,K20B,4,4,1160.0,8,-0.08095804624867238,0.41519815172345903,-0.5859477469099721,-0.6187726041891403,-0.7270772033748168,-0.8961796127595971,-1.5396298413664726,-1.1730158858459432,0.49312039214355013,0.3425959978512239,-1.0033681811074107,-1.1368080175202095,0.0,-0.8519197884616949,0.24277643491696904,-0.8702653659576929,0.6562115446858057,0.4140252389697036,0.8661360002223819,2.9304449843460443
PM236,HHOLL H37 - SLB AUTHORITY 1278J,138,15,-3.3,60,91,0.2,0.49,23,-5,11,8,19,0.41,-0.11,17,0.22,-0.03,90,48,H37,1278J,4,4,,8,0.7286224162380515,0.0,-1.1718954938199442,-0.8044043854458822,-0.8724926440497802,-0.8961796127595971,-1.0264198942443152,-0.5865079429229716,-1.0684275163110266,0.6851919957024478,-0.6689121207382737,-0.17052120262803144,1.060162153318965,-0.8519197884616949,0.24277643491696904,-0.29008845531923094,0.9843173170287085,1.6561009558788145,2.5984080006671455,8.386258731798186
