cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
M37,N54,13.6082,185.1836,PM121,HHOLL M37 - HHOLL N54,162,18,-4.7,59,96,0.23,0.62,28,0,13,9,20,0.66,0.05,24,0.06,0.0,89,72,8,2,1100.0,10
K14,1278J,13.4901,181.9817,PM607,HHOLL K14 - SLB AUTHORITY 1278J,128,16,-4.1,56,82,0.16,0.33,27,-7,11,9,17,0.57,-0.11,9,0.15,-0.03,77,51,6,5,,11
D10,1278J,13.4619,181.2224,PM75,D10 - SLB AUTHORITY 1278J,144,16,-3.6,53,76,0.14,0.09,25,-9,11,9,21,0.44,-0.09,10,0.12,-0.02,102,43,5,5,1190.0,10
J40,N54,12.6908,161.0553,PM53,HHOLL J40 - HHOLL N54,150,16,-4.1,49,78,0.18,0.28,26,-5,12,8,20,0.63,-0.02,11,0.14,0.0,87,64,6,5,1060.0,11
G29,1278J,12.6777,160.7239,PM194,HHOLL G29 - SLB AUTHORITY 1278J,129,16,-3.7,62,91,0.18,0.41,29,-5,10,9,18,0.47,-0.09,17,0.19,-0.03,80,49,6,5,1150.0,11
G35,1278J,12.3615,152.8075,PM208,HHOLL G35 - SLB AUTHORITY 1278J,139,16,-3.2,60,85,0.16,0.42,32,-6,10,8,22,0.41,-0.09,13,0.12,-0.03,103,36,5,5,1200.0,10
K40,N54,11.2428,126.3999,PM88,HHOLL K40 - HHOLL N54,130,19,-4.9,50,76,0.16,0.31,24,-6,12,9,18,0.62,-0.01,6,0.01,0.0,78,52,6,5,1060.0,11
J27,N54,10.9431,119.7504,PM55,HHOLL J27 - HHOLL N54,150,15,-3.4,51,81,0.19,0.41,31,0,12,8,20,0.63,-0.02,13,0.16,0.0,88,63,7,4,1035.0,11
J80,N54,10.7585,115.7462,PM60,HHOLL J80 - HHOLL N54,140,18,-4.4,54,83,0.18,0.38,27,-5,12,8,19,0.62,-0.01,8,0.04,0.0,88,52,5,5,1080.0,10
L06,N54,10.4933,110.1086,PM89,HHOLL L06 - HHOLL N54,133,18,-4.7,56,87,0.19,0.51,25,-5,12,9,17,0.71,-0.02,9,0.06,0.0,74,59,6,4,890.0,10
L32,N54,10.1278,102.5718,PM97,HHOLL L32 - HHOLL N54,161,16,-4.2,59,96,0.23,0.56,26,-1,13,8,20,0.61,0.05,24,0.07,0.0,91,71,7,2,1065.0,9
L94,N54,9.87,97.4168,PM112,HHOLL L94 - HHOLL N54,161,16,-4.0,60,94,0.21,0.58,30,-1,12,8,21,0.61,0.06,23,0.03,0.0,96,64,7,2,1032.0,9
K11,N54,9.5609,91.411,PM85,HHOLL K11 - HHOLL N54,137,18,-4.8,53,83,0.19,0.44,23,-4,12,9,18,0.61,-0.01,9,0.05,0.0,82,55,6,4,1095.0,10
M45,N54,8.9049,79.2967,PM128,HHOLL M45 - HHOLL N54,144,16,-3.8,55,90,0.22,0.49,29,-2,13,8,18,0.65,0.03,15,0.1,0.01,78,66,8,2,972.0,10
L60,N54,8.6807,75.3541,PM103,HHOLL L60 - HHOLL N54,140,16,-3.9,55,86,0.19,0.53,30,-2,12,8,18,0.63,-0.02,15,0.18,0.01,78,62,7,3,1060.0,10
L31,N54,7.7768,60.4791,PM96,HHOLL L31 - HHOLL N54,137,15,-3.2,57,88,0.19,0.5,27,-3,12,8,17,0.69,-0.03,12,0.13,0.0,76,62,6,4,1082.0,10
L88,N54,7.7497,60.0584,PM111,HHOLL L88 - HHOLL N54,133,17,-4.1,56,85,0.18,0.44,26,-5,12,8,17,0.69,-0.02,7,0.04,0.0,77,55,5,4,898.0,9
L20,N54,7.7262,59.6937,PM92,HHOLL L20 - HHOLL N54,138,15,-3.2,62,95,0.21,0.63,27,-4,13,7,18,0.69,-0.01,12,0.09,0.0,81,57,6,4,1060.0,10
