RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM74,,K05 - N17,HHOLL K05 - HHOLL N17,,,151,13,-2.5,66,101,0.22,0.77,26,-4,11,7,21,0.54,-0.05,18,0.25,0,98,52
PM75,,K43 - N17,HHOLL K43 - HHOLL N17,,,128,15,-3.2,60,89,0.18,0.66,26,-4,11,8,18,0.57,-0.06,13,0.19,0,81,48
PM76,,K38B - N17,HHOLL K38B - HHOLL N17,,,139,12,-1.9,65,97,0.2,0.68,30,-3,10,7,19,0.62,-0.02,18,0.13,-0.01,83,56
PM77,,K86 - N17,HHOLL K86 - HHOLL N17,,,134,12,-1.8,65,97,0.2,0.56,28,-3,10,6,20,0.5,-0.05,15,0.2,0,87,46
PM78,,K56 - N17,HHOLL K56 - HHOLL N17,,,147,12,-1.8,63,97,0.22,0.73,26,-3,11,7,21,0.55,-0.06,17,0.24,0,93,54
PM79,,K30 - N17,HHOLL K30 - HHOLL N17,,,146,13,-2.2,57,89,0.2,0.61,27,-5,11,7,21,0.54,-0.05,13,0.17,-0.01,94,53
PM80,,K87 - N17,HHOLL K87 - HHOLL N17,,,116,11,-1.8,65,95,0.19,0.7,29,-3,10,6,17,0.56,-0.06,12,0.19,-0.01,71,45
PM81,,K34 - N17,HHOLL K34 - HHOLL N17,,,139,13,-2.3,64,96,0.21,0.68,32,-2,10,7,19,0.62,-0.03,20,0.17,-0.01,79,60
PM82,,K69 - N17,HHOLL K69 - HHOLL N17,,,118,14,-2.9,68,99,0.2,0.82,30,-3,11,8,16,0.56,-0.06,16,0.24,-0.01,71,46
PM83,,K68 - N17,HHOLL K68 - HHOLL N17,,,136,16,-3.7,59,87,0.18,0.6,31,-5,11,8,19,0.59,-0.06,11,0.19,0,87,48
PM84,,K52 - N17,HHOLL K52 - HHOLL N17,,,141,13,-2.9,54,85,0.2,0.58,24,-4,12,6,18,0.67,-0.09,14,0.31,0,75,66
PM85,,K11 - N17,HHOLL K11 - HHOLL N17,,,127,16,-3.8,57,86,0.18,0.58,22,-5,11,8,17,0.59,-0.09,10,0.19,-0.01,75,52
PM86,,K65 - N17,HHOLL K65 - HHOLL N17,,,127,17,-4.2,57,83,0.17,0.58,27,-5,11,8,18,0.61,-0.08,8,0.17,-0.01,80,48
PM87,,K14 - N17,HHOLL K14 - HHOLL N17,,,126,16,-3.7,55,81,0.16,0.48,25,-6,11,8,18,0.61,-0.08,7,0.15,-0.01,77,49
PM88,,K40 - N17,HHOLL K40 - HHOLL N17,,,120,17,-3.9,54,79,0.16,0.45,23,-7,11,8,17,0.6,-0.09,7,0.14,-0.01,71,49
PM89,,L06 - N17,HHOLL L06 - HHOLL N17,,,123,16,-3.7,60,90,0.19,0.65,24,-6,11,8,16,0.69,-0.1,10,0.2,-0.01,68,56
PM90,,L09 - N17,HHOLL L09 - HHOLL N17,,,125,17,-4.4,58,85,0.17,0.57,25,-6,11,8,17,0.65,-0.08,9,0.18,-0.01,73,52
PM91,,L12 - N17,HHOLL L12 - HHOLL N17,,,141,15,-3.2,57,87,0.19,0.64,27,-3,11,7,18,0.64,-0.09,16,0.36,0,79,62
PM92,,L20 - N17,HHOLL L20 - HHOLL N17,,,128,12,-2.2,66,98,0.2,0.77,25,-5,11,6,17,0.67,-0.08,12,0.23,-0.01,74,54
PM93,,L22 - N17,HHOLL L22 - HHOLL N17,,,116,14,-2.7,63,93,0.19,0.61,28,-6,11,7,16,0.62,-0.08,11,0.19,-0.01,65,51
PM94,,L28 - N17,HHOLL L28 - HHOLL N17,,,139,13,-2.9,56,85,0.18,0.57,21,-4,11,7,19,0.63,-0.09,13,0.32,0,79,60
PM95,,L29 - N17,HHOLL L29 - HHOLL N17,,,130,14,-3.1,56,84,0.17,0.53,26,-6,11,7,17,0.67,-0.1,9,0.23,-0.01,72,58
PM96,,L31 - N17,HHOLL L31 - HHOLL N17,,,127,12,-2.2,61,91,0.19,0.65,26,-5,11,7,16,0.68,-0.1,12,0.27,-0.01,69,58
PM97,,L32 - N17,HHOLL L32 - HHOLL N17,,,151,14,-3.2,63,100,0.23,0.71,25,-2,11,8,19,0.59,-0.03,25,0.21,-0.01,84,67
PM98,,L33 - N17,HHOLL L33 - HHOLL N17,,,148,13,-2.2,61,95,0.21,0.69,26,-3,11,7,21,0.54,-0.05,17,0.22,-0.01,94,54
PM99,,L44 - N17,HHOLL L44 - HHOLL N17,,,141,16,-3.6,57,88,0.19,0.57,28,-4,11,8,18,0.65,-0.02,16,0.14,0,79,62
PM100,,L49 - N17,HHOLL L49 - HHOLL N17,,,148,10,-1.6,66,105,0.24,0.78,27,-1,11,6,19,0.64,-0.02,25,0.2,-0.01,79,69
PM101,,L56 - N17,HHOLL L56 - HHOLL N17,,,126,14,-3.2,55,81,0.16,0.5,30,-6,11,7,19,0.56,-0.05,6,0.09,-0.01,84,42
PM102,,L58 - N17,HHOLL L58 - HHOLL N17,,,138,16,-3.8,57,87,0.19,0.55,27,-4,11,8,17,0.65,-0.09,14,0.32,0,75,63
PM103,,L60 - N17,HHOLL L60 - HHOLL N17,,,130,14,-2.9,59,89,0.19,0.68,29,-4,11,7,17,0.62,-0.09,16,0.32,-0.01,72,59
PM104,,L61 - N17,HHOLL L61 - HHOLL N17,,,125,16,-4,51,76,0.16,0.47,24,-6,11,8,18,0.59,-0.05,7,0.12,0,77,48
PM105,,L63 - N17,HHOLL L63 - HHOLL N17,,,130,10,-1.3,67,101,0.21,0.8,28,-1,11,6,18,0.62,-0.1,20,0.39,-0.01,70,60
PM106,,L64 - N17,HHOLL L64 - HHOLL N17,,,139,17,-4.4,52,82,0.19,0.67,22,-3,11,8,18,0.67,-0.09,13,0.32,0,75,64
PM107,,L66 - N17,HHOLL L66 - HHOLL N17,,,134,12,-2.2,61,90,0.18,0.61,29,-5,11,7,19,0.56,-0.06,11,0.18,-0.01,88,46
PM108,,L70 - N17,HHOLL L70 - HHOLL N17,,,129,12,-2.2,59,89,0.19,0.7,27,-2,11,6,18,0.62,-0.09,14,0.31,-0.01,73,56
PM109,,L73 - N17,HHOLL L73 - HHOLL N17,,,126,14,-2.9,57,85,0.18,0.62,26,-4,11,7,17,0.68,-0.1,9,0.23,-0.01,69,57
PM110,,L78 - N17,HHOLL L78 - HHOLL N17,,,125,17,-4.4,58,84,0.17,0.56,29,-6,11,8,17,0.58,-0.06,12,0.2,0,77,48
PM111,,L88 - N17,HHOLL L88 - HHOLL N17,,,122,15,-3.1,60,88,0.18,0.59,25,-7,11,7,16,0.67,-0.09,8,0.18,-0.01,71,52
PM112,,L94 - N17,HHOLL L94 - HHOLL N17,,,151,14,-3,64,97,0.21,0.73,29,-2,11,8,20,0.59,-0.02,23,0.16,-0.01,90,61
PM113,,M86 - N17,HHOLL M86 - HHOLL N17,,,142,11,-1.5,62,94,0.2,0.58,29,-4,10,6,20,0.62,-0.03,17,0.13,-0.01,84,58
PM114,,M62 - N17,HHOLL M62 - HHOLL N17,,,130,12,-2,63,94,0.2,0.75,29,-1,11,6,18,0.62,-0.1,16,0.33,-0.01,74,56
PM115,,M13 - N17,HHOLL M13 - HHOLL N17,,,135,11,-1.9,58,88,0.19,0.5,25,-4,11,6,18,0.62,-0.1,14,0.31,-0.01,74,61
PM116,,M56 - N17,HHOLL M56 - HHOLL N17,,,152,13,-2.4,65,99,0.22,0.63,26,-3,11,7,19,0.61,-0.02,23,0.19,-0.01,88,64
PM117,,M65 - N17,HHOLL M65 - HHOLL N17,,,155,15,-3.8,60,92,0.2,0.59,29,-4,12,8,19,0.71,-0.01,16,0.19,0.01,91,64
PM118,,M59 - N17,HHOLL M59 - HHOLL N17,,,139,12,-2.2,61,93,0.2,0.69,27,-3,11,6,18,0.64,-0.09,18,0.38,0,77,62
PM119,,M60 - N17,HHOLL M60 - HHOLL N17,,,166,14,-3.2,65,101,0.23,0.73,28,-4,13,8,20,0.74,-0.01,20,0.22,0.01,97,69
PM120,,M57 - N17,HHOLL M57 - HHOLL N17,,,151,12,-2.2,68,107,0.24,0.82,27,-1,12,7,19,0.64,-0.02,27,0.23,-0.01,81,70
PM121,,M37 - N17,HHOLL M37 - HHOLL N17,,,151,15,-3.7,63,99,0.23,0.76,26,-2,11,8,19,0.64,-0.02,24,0.2,-0.01,83,69
PM122,,M38 - N17,HHOLL M38 - HHOLL N17,,,160,16,-4.3,59,91,0.2,0.6,29,-4,12,8,20,0.72,-0.01,17,0.19,0.01,94,66
PM123,,M17 - N17,HHOLL M17 - HHOLL N17,,,142,13,-2.5,67,101,0.21,0.73,30,-3,11,7,19,0.64,-0.03,19,0.19,0,83,59
PM124,,M42 - N17,HHOLL M42 - HHOLL N17,,,151,14,-2.9,67,102,0.22,0.81,29,-1,11,8,20,0.59,-0.02,25,0.2,-0.01,90,61
PM125,,M50 - N17,HHOLL M50 - HHOLL N17,,,151,17,-4.5,59,91,0.2,0.72,26,-2,12,9,19,0.67,-0.09,18,0.38,0,84,66
PM126,,M35 - N17,HHOLL M35 - HHOLL N17,,,160,18,-5.2,54,83,0.18,0.47,27,-6,12,10,20,0.72,-0.01,14,0.15,0.01,96,64
PM127,,M64 - N17,HHOLL M64 - HHOLL N17,,,136,16,-4.1,56,86,0.18,0.59,24,-4,11,8,17,0.7,-0.11,13,0.34,-0.01,72,65
PM128,,M45 - N17,HHOLL M45 - HHOLL N17,,,134,14,-2.8,59,93,0.21,0.63,27,-3,11,7,17,0.63,-0.05,16,0.24,0,71,63
PM129,,M78 - N17,HHOLL M78 - HHOLL N17,,,155,17,-4.6,63,97,0.21,0.72,27,-3,12,9,18,0.79,-0.03,17,0.21,0,86,69
PM130,,M83 - N17,HHOLL M83 - HHOLL N17,,,134,14,-2.8,59,93,0.21,0.64,28,-3,11,7,17,0.63,-0.05,15,0.24,0,72,62
PM131,,M12 - N17,HHOLL M12 - HHOLL N17,,,137,16,-3.9,59,86,0.17,0.51,27,-7,11,8,17,0.63,-0.11,13,0.25,-0.02,79,57
PM132,,M02 - N17,HHOLL M02 - HHOLL N17,,,150,13,-2.6,65,99,0.21,0.7,29,-5,11,7,19,0.61,-0.09,19,0.31,-0.01,90,60
PM133,,M01 - N17,HHOLL M01 - HHOLL N17,,,142,15,-3.6,62,92,0.19,0.59,29,-6,11,8,19,0.58,-0.09,17,0.28,-0.01,86,56
