RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM21,,F81 - 8177F,F81 - LSF SRR PRESIDENT 8177F,,,155,17,-4.7,58,86,0.17,0.56,32,-6,11,9,21,0.59,-0.05,16,0.22,0,103,52
PM22,,F83 - 8177F,F83 - LSF SRR PRESIDENT 8177F,,,147,15,-3.3,65,94,0.18,0.63,32,-4,10,9,21,0.53,-0.05,19,0.22,-0.01,101,46
PM23,,G07 - 8177F,HHOLL G07 - LSF SRR PRESIDENT 8177F,,,152,16,-3.7,55,80,0.16,0.43,19,-8,11,9,22,0.57,-0.04,10,0.16,0,107,45
PM24,,G10 - 8177F,HHOLL G10 - LSF SRR PRESIDENT 8177F,,,149,16,-4.2,55,82,0.17,0.43,27,-7,11,9,20,0.58,-0.04,14,0.17,0,97,52
PM25,,G11 - 8177F,HHOLL G11 - LSF SRR PRESIDENT 8177F,,,156,17,-4.6,58,88,0.19,0.69,25,-5,12,9,21,0.63,-0.05,13,0.19,0,102,54
PM26,,G22 - 8177F,HHOLL G22 - LSF SRR PRESIDENT 8177F,,,159,15,-3.6,64,94,0.19,0.65,30,-6,11,8,22,0.59,-0.05,17,0.25,0,108,51
PM27,,G25 - 8177F,HHOLL G25 - LSF SRR PRESIDENT 8177F,,,158,16,-4,65,93,0.18,0.59,29,-7,11,9,22,0.57,-0.05,15,0.23,0,112,46
PM28,,G29 - 8177F,HHOLL G29 - LSF SRR PRESIDENT 8177F,,,145,16,-3.9,66,97,0.19,0.68,28,-5,11,9,19,0.6,-0.05,18,0.22,-0.01,94,51
PM29,,G34 - 8177F,HHOLL G34 - LSF SRR PRESIDENT 8177F,,,156,16,-4,59,85,0.16,0.49,26,-8,12,9,22,0.56,-0.05,12,0.18,0,113,44
PM30,,G35 - 8177F,HHOLL G35 - LSF SRR PRESIDENT 8177F,,,155,16,-3.5,64,91,0.17,0.69,31,-6,11,8,23,0.53,-0.05,13,0.15,-0.01,117,38
PM31,,G60 - 8177F,HHOLL G60 - LSF SRR PRESIDENT 8177F,,,170,19,-5.3,59,89,0.19,0.67,26,-6,12,11,22,0.63,-0.05,14,0.19,0,115,55
PM32,,G65 - 8177F,HHOLL G65 - LSF SRR PRESIDENT 8177F,,,160,13,-2.9,62,91,0.18,0.51,30,-7,11,8,22,0.58,-0.05,15,0.21,0,110,50
PM33,,G09 - 8177F,HHOLL G09 - LSF SRR PRESIDENT 8177F,,,160,14,-3.1,65,100,0.22,0.76,26,-4,12,8,21,0.63,-0.05,18,0.24,0,102,58
PM34,,H37 - 8177F,HHOLL H37 - LSF SRR PRESIDENT 8177F,,,154,15,-3.6,64,97,0.21,0.75,22,-5,12,8,21,0.54,-0.07,18,0.25,-0.01,104,50
PM35,,H11 - 8177F,HHOLL H11 - LSF SRR PRESIDENT 8177F,,,153,19,-5.1,52,75,0.14,0.39,25,-9,11,10,22,0.57,-0.04,9,0.13,0,109,44
PM36,,H86 - 8177F,HHOLL H86 - LSF SRR PRESIDENT 8177F,,,153,14,-2.8,64,92,0.18,0.59,26,-7,12,8,22,0.56,-0.05,13,0.2,0,110,43
PM37,,H50 - 8177F,HHOLL H50 - LSF SRR PRESIDENT 8177F,,,152,14,-2.9,65,97,0.2,0.67,32,-6,11,8,20,0.6,-0.05,19,0.26,0,99,53
PM38,,H62 - 8177F,HHOLL H62 - LSF SRR PRESIDENT 8177F,,,157,12,-2.5,67,101,0.22,0.8,26,-4,12,8,21,0.63,-0.05,17,0.24,0,102,56
PM39,,H26 - 8177F,HHOLL H26 - LSF SRR PRESIDENT 8177F,,,157,17,-4,62,90,0.17,0.63,29,-6,11,9,23,0.57,-0.05,13,0.2,0,114,43
PM40,,H15 - 8177F,HHOLL H15 - LSF SRR PRESIDENT 8177F,,,137,15,-3.5,65,96,0.19,0.65,26,-7,11,8,19,0.58,-0.05,15,0.17,-0.01,89,48
PM41,,H61 - 8177F,HHOLL H61 - LSF SRR PRESIDENT 8177F,,,154,19,-5.1,57,83,0.16,0.5,27,-7,11,10,22,0.56,-0.05,12,0.17,0,109,45
PM42,,H44 - 8177F,HHOLL H44 - LSF SRR PRESIDENT 8177F,,,155,17,-4.2,58,84,0.17,0.51,26,-6,11,9,22,0.57,-0.05,11,0.16,0,110,45
PM43,,H59 - 8177F,HHOLL H59 - LSF SRR PRESIDENT 8177F,,,150,13,-2.5,67,99,0.2,0.64,25,-5,11,8,21,0.58,-0.05,16,0.2,-0.01,99,50
PM44,,H31 - 8177F,HHOLL H31 - LSF SRR PRESIDENT 8177F,,,150,15,-3.6,61,89,0.17,0.52,24,-7,11,8,21,0.58,-0.04,11,0.19,0,104,45
PM45,,H70 - 8177F,HHOLL H70 - LSF SRR PRESIDENT 8177F,,,155,16,-3.7,62,90,0.17,0.56,30,-6,11,9,22,0.56,-0.05,15,0.19,0,109,46
PM46,,H42 - 8177F,HHOLL H42 - LSF SRR PRESIDENT 8177F,,,150,16,-4.4,67,97,0.19,0.75,29,-7,11,9,20,0.68,-0.05,14,0.21,0,99,51
PM47,,J76 - 8177F,HHOLL J76 - LSF SRR PRESIDENT 8177F,,,155,15,-3.2,60,89,0.18,0.54,31,-8,11,8,18,0.72,-0.02,20,0.18,0,89,66
PM48,,J33 - 8177F,HHOLL J33 - LSF SRR PRESIDENT 8177F,,,146,15,-3.7,64,92,0.18,0.65,31,-7,11,8,20,0.64,-0.06,13,0.2,0,96,50
PM49,,J03 - 8177F,HHOLL J03 - LSF SRR PRESIDENT 8177F,,,149,17,-4.6,60,87,0.17,0.58,27,-8,11,9,20,0.66,-0.05,11,0.17,0,99,50
PM50,,J45 - 8177F,HHOLL J45 - LSF SRR PRESIDENT 8177F,,,155,13,-2.8,66,98,0.2,0.81,29,-5,12,7,19,0.71,-0.09,21,0.39,-0.01,91,63
PM51,,J51 - 8177F,HHOLL J51 - LSF SRR PRESIDENT 8177F,,,168,17,-4.2,61,92,0.2,0.72,27,-7,12,9,22,0.63,-0.05,15,0.22,0,113,55
PM52,,J10 - 8177F,HHOLL J10 - LSF SRR PRESIDENT 8177F,,,145,18,-5,59,87,0.18,0.56,30,-6,11,9,20,0.59,-0.04,14,0.19,0,95,50
PM53,,J40 - 8177F,HHOLL J40 - LSF SRR PRESIDENT 8177F,,,158,14,-3.6,59,88,0.18,0.54,26,-7,11,8,20,0.7,-0.09,15,0.31,-0.01,94,64
PM54,,J65 - 8177F,HHOLL J65 - LSF SRR PRESIDENT 8177F,,,160,14,-3.5,68,100,0.2,0.86,31,-3,11,8,20,0.7,-0.09,23,0.43,-0.01,95,65
PM55,,J27 - 8177F,HHOLL J27 - LSF SRR PRESIDENT 8177F,,,158,13,-3,61,91,0.19,0.67,31,-3,11,8,20,0.7,-0.09,16,0.32,-0.01,95,63
PM56,,J11 - 8177F,HHOLL J11 - LSF SRR PRESIDENT 8177F,,,160,14,-3.2,64,96,0.2,0.75,29,-5,12,8,20,0.73,-0.09,19,0.39,0,95,65
PM57,,J61 - 8177F,HHOLL J61 - LSF SRR PRESIDENT 8177F,,,162,14,-3.5,60,89,0.18,0.63,28,-6,11,9,20,0.7,-0.09,17,0.33,-0.01,98,63
PM58,,J05 - 8177F,HHOLL J05 - LSF SRR PRESIDENT 8177F,,,159,13,-3.1,71,106,0.22,0.9,29,-6,12,8,20,0.7,-0.05,17,0.26,0,104,55
PM59,,J04 - 8177F,HHOLL J04 - LSF SRR PRESIDENT 8177F,,,142,17,-4.8,55,80,0.16,0.47,21,-8,12,9,19,0.7,-0.07,7,0.14,-0.01,90,52
PM60,,J80 - 8177F,HHOLL J80 - LSF SRR PRESIDENT 8177F,,,147,16,-3.9,64,93,0.18,0.64,27,-8,12,8,19,0.69,-0.08,11,0.21,-0.01,95,52
PM61,,J46 - 8177F,HHOLL J46 - LSF SRR PRESIDENT 8177F,,,150,16,-4.1,65,97,0.2,0.78,25,-6,12,9,19,0.73,-0.08,14,0.23,-0.01,91,59
PM62,,J41 - 8177F,HHOLL J41 - LSF SRR PRESIDENT 8177F,,,143,17,-4.6,60,89,0.18,0.72,24,-7,12,9,18,0.73,-0.08,11,0.19,-0.01,87,56
PM63,,K32 - 8177F,HHOLL K32 - LSF SRR PRESIDENT 8177F,,,153,16,-3.5,59,88,0.18,0.52,30,-8,11,8,18,0.72,-0.02,20,0.17,0,87,66
PM64,,K75 - 8177F,HHOLL K75 - LSF SRR PRESIDENT 8177F,,,139,14,-3.1,62,92,0.19,0.58,29,-6,11,8,19,0.58,-0.05,15,0.2,0,89,51
PM65,,K60 - 8177F,HHOLL K60 - LSF SRR PRESIDENT 8177F,,,152,15,-3.7,60,90,0.19,0.59,30,-5,11,8,19,0.72,-0.02,16,0.12,0,91,61
PM66,,K51 - 8177F,HHOLL K51 - LSF SRR PRESIDENT 8177F,,,155,15,-3.6,58,90,0.2,0.67,23,-5,12,9,20,0.63,-0.05,15,0.2,0,98,57
PM67,,K59 - 8177F,HHOLL K59 - LSF SRR PRESIDENT 8177F,,,142,16,-4.1,62,90,0.17,0.66,31,-5,11,9,19,0.65,-0.06,13,0.2,0,91,50
PM68,,K21 - 8177F,HHOLL K21 - LSF SRR PRESIDENT 8177F,,,148,15,-3.6,60,88,0.18,0.5,32,-6,11,8,20,0.58,-0.05,16,0.22,0,96,53
PM69,,K67 - 8177F,HHOLL K67 - LSF SRR PRESIDENT 8177F,,,167,13,-2.5,66,101,0.21,0.81,29,-5,12,8,22,0.63,-0.05,18,0.25,0,112,56
PM70,,K25 - 8177F,HHOLL K25 - LSF SRR PRESIDENT 8177F,,,142,15,-3.7,65,94,0.18,0.66,28,-6,11,8,19,0.65,-0.06,12,0.19,0,94,48
PM71,,K04B - 8177F,HHOLL K04B - LSF SRR PRESIDENT 8177F,,,155,13,-2.9,63,95,0.2,0.77,22,-5,12,7,21,0.63,-0.05,16,0.21,0,101,55
PM72,,K72 - 8177F,HHOLL K72 - LSF SRR PRESIDENT 8177F,,,168,15,-3.7,65,99,0.21,0.79,25,-7,12,8,22,0.63,-0.05,18,0.26,0,112,57
PM73,,K82 - 8177F,HHOLL K82 - LSF SRR PRESIDENT 8177F,,,149,16,-4,66,96,0.19,0.69,28,-6,11,8,20,0.58,-0.05,18,0.24,0,100,49
PM74,,K05 - 8177F,HHOLL K05 - LSF SRR PRESIDENT 8177F,,,168,14,-3,72,108,0.23,0.88,27,-5,12,8,22,0.63,-0.05,20,0.28,0,112,56
PM75,,K43 - 8177F,HHOLL K43 - LSF SRR PRESIDENT 8177F,,,146,15,-3.8,66,96,0.19,0.77,27,-5,11,9,19,0.65,-0.05,16,0.22,0,95,51
PM76,,K38B - 8177F,HHOLL K38B - LSF SRR PRESIDENT 8177F,,,156,12,-2.4,70,104,0.21,0.8,31,-4,11,7,20,0.7,-0.02,20,0.16,-0.01,97,59
PM77,,K86 - 8177F,HHOLL K86 - LSF SRR PRESIDENT 8177F,,,151,12,-2.4,71,104,0.21,0.67,29,-4,11,7,21,0.58,-0.05,18,0.23,0,101,50
PM78,,K56 - 8177F,HHOLL K56 - LSF SRR PRESIDENT 8177F,,,164,12,-2.4,69,104,0.22,0.84,27,-4,12,8,22,0.63,-0.05,19,0.27,0,107,57
PM79,,K30 - 8177F,HHOLL K30 - LSF SRR PRESIDENT 8177F,,,164,13,-2.7,63,96,0.21,0.73,28,-6,12,8,22,0.63,-0.05,16,0.2,0,108,56
PM80,,K87 - 8177F,HHOLL K87 - LSF SRR PRESIDENT 8177F,,,133,11,-2.3,70,102,0.2,0.82,30,-4,11,7,18,0.65,-0.05,15,0.22,0,85,48
PM81,,K34 - 8177F,HHOLL K34 - LSF SRR PRESIDENT 8177F,,,156,13,-2.9,69,103,0.21,0.8,33,-3,11,8,20,0.71,-0.02,22,0.2,-0.01,93,63
PM82,,K69 - 8177F,HHOLL K69 - LSF SRR PRESIDENT 8177F,,,135,15,-3.5,73,106,0.2,0.93,31,-4,11,9,17,0.65,-0.05,19,0.27,0,85,50
PM83,,K68 - 8177F,HHOLL K68 - LSF SRR PRESIDENT 8177F,,,153,16,-4.2,65,94,0.19,0.71,32,-6,11,9,20,0.68,-0.05,13,0.22,0,101,52
PM84,,K52 - 8177F,HHOLL K52 - LSF SRR PRESIDENT 8177F,,,158,13,-3.5,60,92,0.21,0.7,25,-5,12,7,19,0.75,-0.09,16,0.34,0,89,69
PM85,,K11 - 8177F,HHOLL K11 - LSF SRR PRESIDENT 8177F,,,144,16,-4.4,63,93,0.19,0.69,23,-7,12,9,18,0.68,-0.08,13,0.22,-0.01,89,55
